ICAO Code,IATA Code,Airport Name,City/Town,Country,Latitude Decimal Degrees,Longitude Decimal Degrees
SAAG,GHU,GUALEGUAYCHU,GUALEGUAYCHU,ARGENTINA,-33.006,-58.613
SAAI,,PUNTA INDIO,PUNTA INDIO,ARGENTINA,-35.348,-57.294
SAAJ,,JUNIN,JUNIN,ARGENTINA,-34.546,-60.931000000000004
SAAM,,,MAZARUCA,ARGENTINA,0.0,0.0
SAAP,PRA,GENERAL URQUIZA,PARANA,ARGENTINA,-31.795,-60.48
SAAR,ROS,ROSARIO,ROSARIO,ARGENTINA,-32.903,-60.784
SAAU,,,VILLAGUAY,ARGENTINA,0.0,0.0
SAAV,SFN,SAUCE VIEJO,SANTA FE,ARGENTINA,-31.712,-60.812
SABA,EZE,,BUENOS AIRES,ARGENTINA,0.0,0.0
SABE,AEP,AEROPARQUE JORGE NEWBERY,BUENOS AIRES,ARGENTINA,-34.559,-58.416000000000004
SACC,,LA CUMBRE,LA CUMBRE,ARGENTINA,-31.006999999999998,-64.532
SACD,,,CORONEL OLMEDO,ARGENTINA,0.0,0.0
SACI,,,PILAR,ARGENTINA,0.0,0.0
SACL,,,LAGUNA LARGA,ARGENTINA,0.0,0.0
SACM,,,VILA GENERAL MITRE,ARGENTINA,0.0,0.0
SACN,,,ASCOCHINGA,ARGENTINA,0.0,0.0
SACO,COR,AMBROSIO L V TARAVELLA,CORDOBA,ARGENTINA,-31.324,-64.208
SACQ,,,MONTE QUEMADO,ARGENTINA,0.0,0.0
SACS,,,VILLA DE SOTO,ARGENTINA,0.0,0.0
SACT,,CHAMICAL,GOBERNADOR GORDILLO,ARGENTINA,-30.345,-66.294
SACV,,,VILLA MARIA D.RIO SECO,ARGENTINA,0.0,0.0
SADD,,DON TORCUATO,BUENOS AIRES,ARGENTINA,-34.501,-58.604
SADF,,SAN FERNANDO,SAN FERNANDO,ARGENTINA,-34.453,-58.589
SADG,,,MONTE GRANDE,ARGENTINA,0.0,0.0
SADJ,,MARIANO MORENO,JOSE C. PAZ,ARGENTINA,-34.561,-58.788999999999994
SADL,LPG,LA PLATA,LA PLATA,ARGENTINA,-34.972,-57.894
SADM,,MORON,MORON,ARGENTINA,-34.676,-58.641999999999996
SADP,,EL PALOMAR,EL PALOMAR,ARGENTINA,-34.61,-58.613
SADQ,,,QUILMES,ARGENTINA,0.0,0.0
SADR,,,MERLO,ARGENTINA,0.0,0.0
SADS,,AEROCLUB ARGENTINO,SAN JUSTO,ARGENTINA,-34.731,-58.599
SADZ,,,MATANZA,ARGENTINA,0.0,0.0
SAFE,,,SANTA FE,ARGENTINA,0.0,0.0
SAHC,,CHOS MALAL,CHOSMADAL,ARGENTINA,-37.444,-70.222
SAHR,,GENERAL ROCA,FUERTE GRAL ROCA,ARGENTINA,-39.001,-67.62
SAMA,,,GRAL ALVEAR,ARGENTINA,0.0,0.0
SAMC,,,CRISTO REDENTOR,ARGENTINA,0.0,0.0
SAME,MDZ,EL PLUMERILLO,MENDOZA,ARGENTINA,-32.832,-68.793
SAMH,,,VALLE HERMOSO,ARGENTINA,0.0,0.0
SAMI,,,SAN MARTIN,ARGENTINA,0.0,0.0
SAMJ,,,JACHAL,ARGENTINA,0.0,0.0
SAMM,LGS,MALARGUE,MALARGUE,ARGENTINA,-35.484,-69.582
SAMQ,,MENDOZA AEROPARQUE,MENDOZA,ARGENTINA,-32.866,-68.872
SAMR,AFA,SAN RAFAEL,SAN RAFAEL,ARGENTINA,-34.588,-68.403
SAMS,,,SAN CARLOS,ARGENTINA,0.0,0.0
SAMU,,,USPALLATA,ARGENTINA,0.0,0.0
SANC,CTC,CATAMARCA,CATAMARCA,ARGENTINA,-28.596,-65.752
SANE,SDE,SANTIAGO DEL ESTERO,SANTIAGO DEL ESTERO,ARGENTINA,-27.766,-64.31
SANH,,,RIO HONDO,ARGENTINA,0.0,0.0
SANI,,TINOGASTA,TINOGASTA,ARGENTINA,-28.038,-67.58
SANL,IRJ,LA RIOJA,LA RIOJA,ARGENTINA,-29.381,-66.796
SANM,,,PERGAMINO,ARGENTINA,0.0,0.0
SANO,,CHILECITO,CHILECITO,ARGENTINA,-29.224,-67.439
SANT,TUC,TENIENTE BENJAMIN MATIENZO,TUCUMAN,ARGENTINA,-26.840999999999998,-65.105
SANU,UAQ,SAN JUAN,SAN JULIAN,ARGENTINA,-31.570999999999998,-68.418
SANW,,,CERES,ARGENTINA,0.0,0.0
SAOC,RCU,RIO CUARTO AREA DE MATERIAL,RIO CUARTO,ARGENTINA,-33.086,-64.26100000000001
SAOD,VDR,VILLA DOLORES,VILLA DOLORES,ARGENTINA,-31.941,-65.142
SAOE,,,EMBALSE,ARGENTINA,0.0,0.0
SAOL,,LABOULAYE,LABOULAYE,ARGENTINA,-34.135,-63.361999999999995
SAOM,,MARCOS JUAREZ,MARCOS JUAREZ,ARGENTINA,-32.684,-62.158
SAOR,,VILLA REYNOLDS,VILLA REYNOLDS,ARGENTINA,-33.73,-65.387
SAOU,LUQ,SAN LUIS,SAN LUIS,ARGENTINA,-33.273,-66.35600000000001
SAPC,,,CHEPES,ARGENTINA,0.0,0.0
SARC,CNQ,CORRIENTES,CORRIENTES,ARGENTINA,-27.445,-58.762
SARE,RES,RESISTENCIA,RESISTENCIA,ARGENTINA,-27.45,-59.056000000000004
SARF,FMA,FORMOSA,FORMOSA,ARGENTINA,-26.212,-58.228
SARI,IGR,CATARATAS DEL IGUAZU,IGUAZU FALLS,ARGENTINA,-25.738000000000003,-54.473
SARL,AOL,PASO DE LOS LIBRES,PASO DE LOS LIBRES,ARGENTINA,-29.689,-57.152
SARM,,MONTE CASEROS,MONTE CASEROS,ARGENTINA,-30.272,-57.64
SARO,,,ITUZAINGO,ARGENTINA,0.0,0.0
SARP,PSS,POSADAS,POSADAS,ARGENTINA,-27.386,-55.971000000000004
SARS,,TERMAL,PRESIDENCIA R.S.PENA,ARGENTINA,-26.756,-60.493
SASA,SLA,SALTA,SALTA,ARGENTINA,-24.855999999999998,-65.486
SASJ,JUJ,JUJUY,JUJUY,ARGENTINA,-24.393,-65.098
SASO,ORA,ORAN,ORAN,ARGENTINA,-23.153000000000002,-64.329
SASQ,,LA QUIACA,LA QUIACA,ARGENTINA,-22.162,-65.57
SASR,,,RIVADAVIA,ARGENTINA,0.0,0.0
SAST,,GENERAL ENRIQUE MOSCONI TARTAGAL,TARTAGAL,ARGENTINA,-22.62,-63.794
SATC,,,CLORINDA,ARGENTINA,0.0,0.0
SATD,,,EL DORADO,ARGENTINA,0.0,0.0
SATG,,GOYA,GOYA,ARGENTINA,-29.105999999999998,-59.218999999999994
SATI,,,BERNARDO DE IRIGOYEN,ARGENTINA,0.0,0.0
SATK,,ALFEREZ ARMANDO RODRIGUEZ,LAS LOMITAS,ARGENTINA,-24.721,-60.549
SATM,,MERCEDES,MERCEDES,ARGENTINA,-29.223000000000003,-58.088
SATO,,OBERA,OBERA,ARGENTINA,-27.518,-55.123999999999995
SATR,,RECONQUISTA,RECONQUISTA,ARGENTINA,-29.21,-59.691
SATU,,CURUZU CUATIA,CURUZU CUATIA,ARGENTINA,-29.771,-57.979
SAVA,,,PIEDRA DEL AGUILA,ARGENTINA,0.0,0.0
SAVB,EHL,EL BOLSON,EL BOLSON,ARGENTINA,-41.943000000000005,-71.532
SAVC,CRD,COMODORO RIVADAVIA,COMODORO RIVADAVIA,ARGENTINA,-45.785,-67.46600000000001
SAVD,EMX,EL MAITEN,EL MAITEN,ARGENTINA,-42.031000000000006,-71.17
