Date,Origin,Destination,Expected Departure Time,Actual Departure Time,Departure Delay,Expected Arrival Time,Distance
2009-01-01,FAT,LAS,710,0.0,0.0,820,258.0
2009-01-01,FAT,PHX,920,0.0,0.0,1205,493.0
2009-01-01,SBA,PHX,600,0.0,0.0,920,455.0
2009-01-01,SBA,PHX,940,0.0,0.0,1214,455.0
2009-01-01,BTM,SLC,1300,0.0,0.0,1415,357.0
2009-01-01,SBA,SLC,605,0.0,0.0,908,615.0
2009-01-01,FAT,SLC,630,0.0,0.0,910,501.0
2009-01-01,MRY,LAX,1008,0.0,0.0,1138,267.0
2009-01-01,SBA,LAX,700,0.0,0.0,749,89.0
2009-01-01,SBA,SFO,621,0.0,0.0,745,262.0
2009-01-01,SFO,MRY,805,0.0,0.0,848,77.0
2009-01-01,SBA,SFO,1212,0.0,0.0,1334,262.0
2009-01-01,SBA,SFO,800,0.0,0.0,924,262.0
2009-01-01,SJC,SBA,1051,0.0,0.0,1153,234.0
2009-01-01,SBA,SJC,1533,0.0,0.0,1649,234.0
2009-01-01,SJC,SBA,1706,0.0,0.0,1808,234.0
2009-01-01,LAX,CLD,1838,0.0,0.0,1919,86.0
2009-01-01,CLD,LAX,1715,0.0,0.0,1758,86.0
2009-01-01,LAX,CLD,1610,1605.0,-5.0,1656,86.0
2009-01-01,CIC,SFO,530,0.0,0.0,638,153.0
2009-01-01,SFO,MFR,2224,0.0,0.0,2345,329.0
2009-01-01,SBA,DEN,600,0.0,0.0,925,916.0
2009-01-01,SUN,SLC,938,0.0,0.0,1050,223.0
2009-01-01,SLC,SUN,805,757.0,-8.0,922,223.0
2009-01-01,BOS,IAD,734,0.0,0.0,921,413.0
2009-01-01,DEN,JAC,1830,0.0,0.0,2006,406.0
2009-01-01,SNA,PHX,646,0.0,0.0,917,338.0
2009-01-01,SNA,PHX,645,0.0,0.0,916,338.0
2009-01-01,ISP,BWI,940,0.0,0.0,1050,220.0
2009-01-01,ISP,FLL,645,0.0,0.0,945,1093.0
2009-01-01,ISP,FLL,1215,0.0,0.0,1520,1093.0
2009-01-01,ISP,LAS,720,0.0,0.0,1020,2283.0
2009-01-01,ISP,MCO,840,0.0,0.0,1130,972.0
2009-01-01,ISP,MDW,915,0.0,0.0,1040,765.0
2009-01-01,OAK,SAN,2145,0.0,0.0,2310,446.0
2009-01-01,SAN,OAK,1950,0.0,0.0,2120,446.0
2009-01-01,SAN,SFO,750,0.0,0.0,935,447.0
2009-01-01,SAN,SJC,820,0.0,0.0,945,418.0
2009-01-01,SAN,SMF,830,0.0,0.0,1010,480.0
2009-01-01,SAN,SMF,945,0.0,0.0,1125,480.0
2009-01-01,SMF,SNA,2015,0.0,0.0,2140,404.0
2009-01-01,SNA,OAK,825,0.0,0.0,950,371.0
2009-01-01,SNA,SJC,845,0.0,0.0,1000,342.0
2009-01-01,SAN,DEN,620,0.0,0.0,945,853.0
2009-01-01,SNA,DEN,645,0.0,0.0,1000,846.0
2009-01-01,LAX,SAN,2230,2233.0,3.0,2320,109.0
2009-01-01,SAN,LAX,805,0.0,0.0,845,109.0
2009-01-01,LAX,SAN,640,0.0,0.0,740,109.0
2009-01-01,SBA,LAX,650,0.0,0.0,730,89.0
2009-01-01,SBA,LAX,925,0.0,0.0,1010,89.0
2009-01-01,LAX,SBA,800,0.0,0.0,840,89.0
2009-01-01,LAX,SAN,1800,1758.0,-2.0,1850,109.0
2009-01-01,SJC,LAX,2110,0.0,0.0,2225,308.0
2009-01-01,SFO,SNA,1015,0.0,0.0,1145,372.0
2009-01-01,SAN,SJC,1925,0.0,0.0,2045,418.0
2009-01-01,SNA,SFO,820,0.0,0.0,945,372.0
2009-01-01,ITH,DTW,625,0.0,0.0,757,353.0
2009-01-01,BOS,ORD,1800,0.0,0.0,2010,867.0
2009-01-01,ORD,BOS,1345,0.0,0.0,1700,867.0
2009-01-01,SAN,DFW,620,0.0,0.0,1120,1171.0
2009-01-01,ADK,ANC,1715,0.0,0.0,2101,1192.0
2009-01-01,BOS,FLL,645,0.0,0.0,1006,1237.0
2009-01-01,MCO,LAX,725,0.0,0.0,1008,2217.0
2009-01-02,DTW,ITH,2123,0.0,0.0,2245,353.0
2009-01-02,ATL,JAC,1050,0.0,0.0,1301,1572.0
2009-01-02,JAC,ATL,1351,0.0,0.0,1925,1572.0
2009-01-02,SLC,JAC,1100,0.0,0.0,1209,205.0
2009-01-02,JAC,SLC,1259,0.0,0.0,1404,205.0
2009-01-02,ATL,TRI,2140,2151.0,11.0,2244,227.0
2009-01-02,ATL,AGS,2230,2227.0,-3.0,2319,143.0
2009-01-02,SAN,LAX,615,0.0,0.0,700,109.0
2009-01-02,MEM,LIT,1445,1555.0,70.0,1540,129.0
2009-01-02,MSP,MOT,1420,1413.0,-7.0,1555,449.0
2009-01-02,MOT,MSP,1638,0.0,0.0,1810,449.0
2009-01-02,LIT,MEM,1625,0.0,0.0,1719,129.0
2009-01-02,SLC,FCA,945,0.0,0.0,1139,532.0
2009-01-02,FCA,SLC,1230,0.0,0.0,1419,532.0
2009-01-02,SLC,COD,2120,0.0,0.0,2227,298.0
2009-01-02,SLC,JAC,950,0.0,0.0,1108,205.0
2009-01-02,JAC,SLC,1150,0.0,0.0,1255,205.0
2009-01-02,CLD,LAX,600,0.0,0.0,646,86.0
2009-01-02,CLD,LAX,839,0.0,0.0,923,86.0
2009-01-02,LAX,CLD,735,0.0,0.0,817,86.0
2009-01-02,MFR,SFO,550,0.0,0.0,712,329.0
2009-01-02,SAN,LAX,618,0.0,0.0,711,109.0
2009-01-02,ONT,SFO,1324,0.0,0.0,1450,363.0
2009-01-02,SFO,ONT,1134,0.0,0.0,1255,363.0
2009-01-02,LAX,SMF,1655,0.0,0.0,1819,373.0
2009-01-02,SMF,LAX,1850,0.0,0.0,2019,373.0
2009-01-02,DEN,XNA,2130,2132.0,2.0,12,616.0
2009-01-02,EKO,SLC,1820,0.0,0.0,2028,200.0
2009-01-02,SLC,EKO,1720,0.0,0.0,1734,200.0
2009-01-02,RKS,GCC,2035,2102.0,27.0,2145,261.0
2009-01-02,DEN,JAC,1126,0.0,0.0,1302,406.0
2009-01-02,JAC,DEN,1342,0.0,0.0,1505,406.0
2009-01-02,SNA,DEN,651,0.0,0.0,1027,846.0
2009-01-02,JAC,ORD,1300,0.0,0.0,1647,1162.0
2009-01-02,ORD,JAC,955,0.0,0.0,1208,1162.0
2009-01-02,JAC,DEN,700,0.0,0.0,837,406.0
2009-01-02,SAN,PHX,635,0.0,0.0,900,304.0
2009-01-02,BOI,GEG,1035,0.0,0.0,1040,287.0
2009-01-02,BUR,LAS,825,0.0,0.0,925,223.0
2009-01-02,BUR,LAS,900,0.0,0.0,1015,223.0
2009-01-02,BUR,OAK,750,0.0,0.0,905,325.0
2009-01-02,BUR,OAK,1050,0.0,0.0,1205,325.0
2009-01-02,BUR,OAK,830,0.0,0.0,945,325.0
2009-01-02,BUR,PHX,940,0.0,0.0,1205,369.0
2009-01-02,BUR,PHX,740,0.0,0.0,1005,369.0
2009-01-02,BUR,SJC,800,0.0,0.0,910,297.0
2009-01-02,BUR,SJC,700,0.0,0.0,810,297.0
2009-01-02,BUR,SMF,820,0.0,0.0,940,358.0
2009-01-02,GEG,BOI,615,0.0,0.0,815,287.0
2009-01-02,GEG,OAK,700,0.0,0.0,915,723.0
2009-01-02,GEG,PDX,735,0.0,0.0,845,279.0
2009-01-02,GEG,SEA,625,0.0,0.0,730,224.0
2009-01-02,LAS,BUR,730,0.0,0.0,840,223.0
2009-01-02,OAK,BUR,705,0.0,0.0,810,325.0
2009-01-02,OAK,BUR,925,0.0,0.0,1030,325.0
2009-01-02,OAK,GEG,910,0.0,0.0,1110,723.0
2009-01-02,OAK,PDX,605,0.0,0.0,755,543.0
2009-01-02,PDX,GEG,815,0.0,0.0,915,279.0
2009-01-02,PDX,SMF,910,0.0,0.0,1035,479.0
2009-01-02,SAN,LAS,630,0.0,0.0,745,258.0
2009-01-02,SAN,PHX,730,0.0,0.0,945,304.0
2009-01-02,SAN,SFO,750,0.0,0.0,935,447.0
2009-01-02,SEA,GEG,905,0.0,0.0,1005,224.0
2009-01-02,SFO,SAN,600,0.0,0.0,730,447.0
2009-01-02,SJC,BUR,705,0.0,0.0,805,297.0
2009-01-02,SJC,SNA,835,0.0,0.0,950,342.0
2009-01-02,SMF,BUR,650,0.0,0.0,800,358.0
2009-01-02,SNA,SMF,755,0.0,0.0,925,404.0
2009-01-02,BUR,PHX,940,0.0,0.0,1208,369.0
2009-01-03,BHM,BNA,940,0.0,0.0,1030,177.0
2009-01-03,BHM,DAL,835,0.0,0.0,1030,587.0
2009-01-03,BHM,TPA,925,0.0,0.0,1145,460.0
2009-01-03,PNS,IAH,915,0.0,0.0,1057,489.0
2009-01-03,ATL,IAD,1230,0.0,0.0,1418,533.0
2009-01-03,DEN,EGE,910,906.0,-4.0,1008,120.0
2009-01-03,DEN,EGE,820,848.0,28.0,918,120.0
2009-01-03,EGE,DEN,938,0.0,0.0,1046,120.0
2009-01-03,EGE,DEN,1030,0.0,0.0,1138,120.0
2009-01-03,IAD,CAE,2200,0.0,0.0,2324,401.0
2009-01-03,IAD,CAE,2100,0.0,0.0,2226,401.0
2009-01-03,PHX,TEX,1055,1130.0,35.0,1251,387.0
2009-01-03,PHX,TEX,945,1100.0,75.0,1140,387.0
2009-01-03,TEX,PHX,1316,0.0,0.0,1513,387.0
2009-01-03,TEX,PHX,1200,0.0,0.0,1357,387.0
2009-01-03,MDW,ATL,1611,0.0,0.0,1908,590.0
2009-01-03,ATL,GSO,2230,0.0,0.0,2339,306.0
2009-01-03,ATL,IAH,2125,0.0,0.0,2246,689.0
2009-01-03,ORF,ATL,1920,0.0,0.0,2118,516.0
2009-01-03,SLC,ASE,938,0.0,0.0,1055,291.0
2009-01-03,SLC,CPR,1100,1104.0,4.0,1225,320.0
2009-01-03,ASE,ATL,1125,0.0,0.0,1640,1304.0
2009-01-03,CPR,SLC,1250,0.0,0.0,1420,320.0
2009-01-03,COD,SLC,630,0.0,0.0,742,298.0
2009-01-03,ASE,SLC,1249,0.0,0.0,1404,291.0
2009-01-03,SLC,ASE,1102,0.0,0.0,1219,291.0
2009-01-03,ASE,LAX,1044,0.0,0.0,1204,737.0
2009-01-03,ASE,LAX,1624,0.0,0.0,1744,737.0
2009-01-03,LAX,ASE,1238,0.0,0.0,1544,737.0
2009-01-03,ASE,DEN,1344,0.0,0.0,1432,125.0
2009-01-03,ASE,ORD,1246,0.0,0.0,1633,1013.0
2009-01-03,ASE,ORD,1127,0.0,0.0,1514,1013.0
2009-01-03,ASE,DEN,1136,0.0,0.0,1224,125.0
2009-01-03,ASE,DEN,1036,0.0,0.0,1124,125.0
2009-01-03,ASE,DEN,950,0.0,0.0,1049,125.0
