Date,Origin,Destination,Expected Departure Time,Actual Departure Time,Departure Delay,Expected Arrival Time,Distance
2016-01-01,ADQ,ANC,1720,0.0,0.0,1809,253.0
2016-01-01,ANC,ADQ,1530,0.0,0.0,1628,253.0
2016-01-01,ERI,ORD,1655,0.0,0.0,1739,398.0
2016-01-01,HOB,IAH,640,0.0,0.0,921,501.0
2016-01-01,HOB,IAH,1212,0.0,0.0,1450,501.0
2016-01-01,ORD,ERI,2105,0.0,0.0,2330,398.0
2016-01-01,IAH,HOB,1051,0.0,0.0,1142,501.0
2016-01-01,MAF,DEN,615,0.0,0.0,713,563.0
2016-01-01,DFW,EGE,1835,1837.0,2.0,1958,721.0
2016-01-02,ORD,SEA,1715,0.0,0.0,1954,1721.0
2016-01-02,SEA,ORD,1058,0.0,0.0,1700,1721.0
2016-01-02,EGE,DFW,801,0.0,0.0,1120,721.0
2016-01-02,DFW,SEA,1725,0.0,0.0,1951,1660.0
2016-01-02,SEA,DFW,1015,0.0,0.0,1605,1660.0
2016-01-02,FLL,SJU,1035,1103.0,28.0,1405,1046.0
2016-01-02,SJU,MCO,1455,0.0,0.0,1706,1189.0
2016-01-02,GEG,LAX,609,606.0,-3.0,905,945.0
2016-01-02,BRO,IAH,1053,0.0,0.0,1212,308.0
2016-01-02,IAH,BRO,900,925.0,25.0,1020,308.0
2016-01-02,ERI,ORD,600,0.0,0.0,644,398.0
2016-01-03,GSP,ORD,2204,0.0,0.0,2311,577.0
2016-01-03,ORD,FAR,1916,0.0,0.0,2118,557.0
2016-01-03,LAX,SFO,1630,0.0,0.0,1800,337.0
2016-01-03,SFO,SMF,1622,0.0,0.0,1709,86.0
2016-01-03,PSP,SFO,1041,0.0,0.0,1218,421.0
2016-01-03,SFO,SAT,1600,0.0,0.0,2123,1482.0
2016-01-03,SFO,LAS,1852,0.0,0.0,2029,414.0
2016-01-03,SBA,SFO,1815,0.0,0.0,1926,262.0
2016-01-03,MRY,SFO,1507,0.0,0.0,1547,77.0
2016-01-03,BUR,SFO,1652,0.0,0.0,1820,326.0
2016-01-03,SFO,ONT,1714,0.0,0.0,1839,363.0
2016-01-03,FSD,ORD,2133,0.0,0.0,2315,462.0
2016-01-03,ORD,FSD,1913,1913.0,0.0,2056,462.0
2016-01-03,SFO,PSC,2010,0.0,0.0,2207,620.0
2016-01-03,SFO,RDM,1810,0.0,0.0,1945,462.0
2016-01-03,SMF,SFO,1739,0.0,0.0,1826,86.0
2016-01-03,ONT,SFO,1909,0.0,0.0,2035,363.0
2016-01-03,ONT,SFO,955,0.0,0.0,1124,363.0
2016-01-03,RDM,SFO,2015,0.0,0.0,2152,462.0
2016-01-03,SFO,RNO,1840,0.0,0.0,1942,192.0
2016-01-03,SFO,MCI,1220,0.0,0.0,1758,1499.0
2016-01-03,BOI,SFO,1731,0.0,0.0,1821,522.0
