Date,Origin,Destination,Expected Departure Time,Actual Departure Time,Departure Delay,Expected Arrival Time,Distance
2015-01-01,ATL,DFW,1124,0.0,0.0,1252,731.0
2015-01-01,DFW,ATL,731,0.0,0.0,1032,731.0
2015-01-01,TPA,DTW,1230,0.0,0.0,1506,983.0
2015-01-01,DFW,TPA,818,0.0,0.0,1134,929.0
2015-01-01,MAF,DEN,612,0.0,0.0,708,563.0
2015-01-01,MAF,IAH,1807,0.0,0.0,1932,429.0
2015-01-01,DEN,MAF,2200,0.0,0.0,42,563.0
2015-01-01,CMX,ORD,600,0.0,0.0,627,359.0
2015-01-01,DEN,MSN,1600,0.0,0.0,1905,826.0
2015-01-01,ASE,IAH,1654,0.0,0.0,2025,913.0
2015-01-01,DFW,MSN,830,0.0,0.0,1038,821.0
2015-01-01,LRD,DFW,600,0.0,0.0,720,396.0
2015-01-01,SFO,SAT,2359,0.0,0.0,530,1482.0
2015-01-01,MAF,IAH,510,0.0,0.0,637,429.0
2015-01-01,FLG,PHX,800,0.0,0.0,856,119.0
2015-01-01,DFW,LRD,1255,0.0,0.0,1418,396.0
2015-01-01,DVL,JMS,700,0.0,0.0,738,83.0
2015-01-01,DEN,MSP,1953,0.0,0.0,2249,680.0
2015-01-01,DEN,BOI,1901,0.0,0.0,2102,649.0
2015-01-01,LBB,AUS,920,0.0,0.0,1030,341.0
2015-01-01,DFW,DEN,1704,0.0,0.0,1813,641.0
2015-01-01,DEN,SNA,1528,0.0,0.0,1659,846.0
2015-01-01,DEN,ORD,1908,0.0,0.0,2240,888.0
2015-01-01,ORD,DEN,1627,0.0,0.0,1813,888.0
2015-01-01,SNA,DEN,1749,0.0,0.0,2058,846.0
2015-01-01,DEN,DFW,1757,0.0,0.0,2054,641.0
2015-01-01,IAH,MAF,1606,0.0,0.0,1737,429.0
2015-01-01,HRL,IAH,1711,0.0,0.0,1820,295.0
2015-01-01,IAH,MAF,2112,0.0,0.0,2243,429.0
2015-01-01,BRO,IAH,1324,0.0,0.0,1440,308.0
2015-01-01,HOB,IAH,645,0.0,0.0,922,501.0
2015-01-01,IAH,HOB,1800,0.0,0.0,1840,501.0
2015-01-01,IAH,HRL,2105,0.0,0.0,2216,295.0
2015-01-01,IAH,BRO,1134,1129.0,-5.0,1250,308.0
2015-01-01,HRL,IAH,1310,0.0,0.0,1422,295.0
2015-01-01,IAH,HRL,1530,1537.0,7.0,1641,295.0
2015-01-01,MAF,IAH,719,0.0,0.0,843,429.0
2015-01-01,DFW,MAF,1810,0.0,0.0,1918,309.0
2015-01-01,MAF,DFW,1955,0.0,0.0,2105,309.0
2015-01-01,DFW,AEX,910,0.0,0.0,1013,285.0
2015-01-01,DFW,CHS,935,0.0,0.0,1258,987.0
2015-01-01,DFW,PIA,915,0.0,0.0,1103,672.0
2015-01-01,PIA,DFW,1130,0.0,0.0,1345,672.0
2015-01-01,DFW,TUL,740,0.0,0.0,843,237.0
2015-01-01,TUL,DFW,910,0.0,0.0,1020,237.0
2015-01-01,HSV,DFW,1025,0.0,0.0,1235,603.0
2015-01-01,DFW,JAN,950,0.0,0.0,1108,408.0
2015-01-01,DFW,PNS,1035,0.0,0.0,1213,604.0
2015-01-01,PNS,DFW,1240,0.0,0.0,1445,604.0
2015-01-01,DSM,DFW,915,0.0,0.0,1120,624.0
2015-01-01,DFW,BMI,2010,0.0,0.0,2203,690.0
2015-01-01,GRK,DFW,700,0.0,0.0,755,134.0
2015-01-01,GSO,DFW,730,0.0,0.0,950,999.0
2015-01-01,SGF,DFW,525,0.0,0.0,700,364.0
2015-01-01,ABI,DFW,930,0.0,0.0,1025,158.0
2015-01-01,PNS,DFW,700,0.0,0.0,910,604.0
2015-01-01,DFW,MAF,1135,0.0,0.0,1243,309.0
2015-01-01,MAF,DFW,1320,0.0,0.0,1430,309.0
2015-01-01,FSM,DFW,605,0.0,0.0,715,227.0
2015-01-01,DFW,LFT,835,0.0,0.0,948,351.0
2015-01-01,LFT,DFW,1015,0.0,0.0,1140,351.0
2015-01-01,ROW,DFW,1110,1229.0,79.0,1335,435.0
2015-01-01,AEX,DFW,605,0.0,0.0,725,285.0
2015-01-01,PIA,DFW,640,0.0,0.0,905,672.0
2015-01-01,DFW,HOU,920,0.0,0.0,1028,247.0
2015-01-01,HOU,DFW,1055,0.0,0.0,1205,247.0
2015-01-01,DFW,MKE,800,0.0,0.0,1018,853.0
2015-01-01,MKE,DFW,1045,0.0,0.0,1330,853.0
2015-01-01,DFW,SPS,2005,0.0,0.0,2053,113.0
2015-01-01,GUC,DFW,1151,0.0,0.0,1450,678.0
2015-01-01,DFW,HSV,1055,0.0,0.0,1233,603.0
2015-01-01,DFW,MAF,2130,0.0,0.0,2238,309.0
2015-01-01,DFW,HOU,720,0.0,0.0,828,247.0
2015-01-01,DFW,TLH,1840,0.0,0.0,2138,767.0
2015-01-01,DFW,ACT,920,0.0,0.0,953,89.0
2015-01-01,DFW,SGF,1130,0.0,0.0,1243,364.0
2015-01-01,DFW,SGF,1750,0.0,0.0,1903,364.0
2015-01-01,SGF,DFW,730,0.0,0.0,905,364.0
2015-01-01,DFW,FSM,900,0.0,0.0,958,227.0
2015-01-01,LCH,DFW,720,0.0,0.0,835,295.0
2015-01-01,GPT,DFW,630,0.0,0.0,825,500.0
2015-01-01,CHS,DFW,545,0.0,0.0,755,987.0
2015-01-01,DFW,ABI,1855,0.0,0.0,1943,158.0
2015-01-01,DFW,GSP,2035,0.0,0.0,2343,862.0
2015-01-01,DFW,ABI,1755,0.0,0.0,1843,158.0
2015-01-01,DFW,FWA,855,0.0,0.0,1203,859.0
2015-01-01,DFW,VPS,1055,0.0,0.0,1243,641.0
2015-01-01,DFW,MGM,900,0.0,0.0,1038,622.0
2015-01-01,MGM,DFW,1105,0.0,0.0,1310,622.0
2015-01-01,DFW,GPT,815,0.0,0.0,943,500.0
2015-01-01,GPT,DFW,1010,0.0,0.0,1200,500.0
2015-01-01,MAF,DFW,600,0.0,0.0,710,309.0
2015-01-01,DFW,GRK,740,0.0,0.0,828,134.0
2015-01-01,BTR,DFW,1150,0.0,0.0,1320,383.0
2015-01-01,DFW,BTR,1005,0.0,0.0,1123,383.0
2015-01-01,DFW,CVG,1105,0.0,0.0,1408,812.0
2015-01-01,ABI,DFW,705,0.0,0.0,800,158.0
2015-01-01,GJT,DFW,700,0.0,0.0,1025,773.0
2015-01-01,DFW,JLN,1930,0.0,0.0,2038,327.0
2015-01-01,DFW,XNA,1125,0.0,0.0,1228,280.0
2015-01-01,GCK,DFW,725,0.0,0.0,850,404.0
2015-01-01,DFW,DSM,920,0.0,0.0,1108,624.0
2015-01-01,DFW,LIT,735,0.0,0.0,843,304.0
2015-01-01,LIT,DFW,920,0.0,0.0,1040,304.0
2015-01-01,DFW,GJT,1040,0.0,0.0,1158,773.0
2015-01-01,AMA,DFW,600,0.0,0.0,720,312.0
2015-01-01,FAR,DFW,615,0.0,0.0,915,968.0
2015-01-01,CLL,DFW,600,0.0,0.0,700,164.0
2015-01-01,SGF,DFW,645,0.0,0.0,820,364.0
2015-01-01,ROW,DFW,640,0.0,0.0,905,435.0
2015-01-01,DFW,SAV,825,0.0,0.0,1138,925.0
2015-01-01,DFW,GGG,1635,0.0,0.0,1723,140.0
2015-01-01,GGG,DFW,1750,0.0,0.0,1840,140.0
2015-01-01,DFW,GSO,800,0.0,0.0,1123,999.0
2015-01-01,DFW,GRR,835,0.0,0.0,1158,931.0
2015-01-01,HOU,DFW,600,0.0,0.0,710,247.0
2015-01-01,BTR,DFW,745,0.0,0.0,915,383.0
2015-01-01,DFW,BTR,600,0.0,0.0,718,383.0
2015-01-01,DFW,PNS,740,0.0,0.0,923,604.0
2015-01-01,JLN,DFW,600,0.0,0.0,720,327.0
2015-01-01,SAF,DFW,650,0.0,0.0,925,551.0
2015-01-01,GRR,DFW,650,0.0,0.0,905,931.0
2015-01-01,AMA,DFW,1105,0.0,0.0,1215,312.0
2015-01-01,DFW,AMA,920,0.0,0.0,1028,312.0
2015-01-01,DFW,ROW,2055,0.0,0.0,2118,435.0
2015-01-01,DFW,COU,1240,0.0,0.0,1408,489.0
2015-01-01,BMI,DFW,700,0.0,0.0,925,690.0
2015-01-01,DFW,VPS,800,0.0,0.0,948,641.0
2015-01-01,XNA,DFW,555,0.0,0.0,710,280.0
2015-01-01,ABI,DFW,1430,0.0,0.0,1520,158.0
2015-01-01,DFW,ABI,1315,0.0,0.0,1403,158.0
2015-01-01,DFW,GRI,1220,0.0,0.0,1403,561.0
2015-01-01,DFW,ABI,2150,0.0,0.0,2238,158.0
2015-01-01,DFW,MLI,1510,0.0,0.0,1703,691.0
2015-01-01,SAV,DFW,620,0.0,0.0,825,925.0
2015-01-01,DFW,SJT,2155,0.0,0.0,2253,229.0
2015-01-01,AMA,DFW,1425,0.0,0.0,1535,312.0
2015-01-01,DFW,AMA,1250,0.0,0.0,1358,312.0
2015-01-01,ABI,DFW,1155,0.0,0.0,1245,158.0
2015-01-01,DFW,ABI,1040,0.0,0.0,1128,158.0
2015-01-01,DFW,ABI,2005,0.0,0.0,2048,158.0
2015-01-01,DFW,LCH,1820,0.0,0.0,1928,295.0
2015-01-01,DFW,FSM,1310,0.0,0.0,1403,227.0
2015-01-01,FSM,DFW,1430,0.0,0.0,1535,227.0
2015-01-01,DFW,GRK,930,0.0,0.0,1018,134.0
2015-01-01,GRK,DFW,1045,0.0,0.0,1140,134.0
2015-01-01,CID,DFW,600,0.0,0.0,820,685.0
2015-01-01,DFW,MAF,915,0.0,0.0,1023,309.0
2015-01-01,MAF,DFW,1100,0.0,0.0,1205,309.0
2015-01-01,ABI,DFW,1750,0.0,0.0,1840,158.0
2015-01-01,DFW,ABI,1640,0.0,0.0,1723,158.0
2015-01-01,DFW,SAF,945,0.0,0.0,1028,551.0
2015-01-01,DFW,MAF,1600,0.0,0.0,1708,309.0
2015-01-01,MAF,DFW,1745,0.0,0.0,1855,309.0
2015-01-01,ACT,DFW,1155,0.0,0.0,1240,89.0
2015-01-01,DFW,ACT,1055,0.0,0.0,1128,89.0
2015-01-01,GRI,DFW,620,0.0,0.0,820,561.0
2015-01-01,BTR,DFW,920,0.0,0.0,1050,383.0
2015-01-01,DFW,BTR,730,0.0,0.0,853,383.0
2015-01-01,DFW,SHV,730,0.0,0.0,828,190.0
2015-01-01,SHV,DFW,855,0.0,0.0,1000,190.0
2015-01-01,SPS,DFW,605,0.0,0.0,650,113.0
2015-01-01,DFW,LRD,905,0.0,0.0,1028,396.0
2015-01-01,LRD,DFW,1100,0.0,0.0,1220,396.0
2015-01-01,MLI,DFW,600,0.0,0.0,825,691.0
2015-01-01,DFW,LEX,1055,0.0,0.0,1358,785.0
2015-01-01,LEX,DFW,1425,0.0,0.0,1600,785.0
2015-01-01,DFW,XNA,755,0.0,0.0,858,280.0
2015-01-01,CHA,DFW,1245,0.0,0.0,1405,695.0
2015-01-01,DFW,CHA,930,0.0,0.0,1218,695.0
2015-01-01,GSP,DFW,600,0.0,0.0,750,862.0
2015-01-01,ABI,DFW,1600,0.0,0.0,1650,158.0
2015-01-01,DFW,ABI,1450,0.0,0.0,1533,158.0
2015-01-01,DFW,LEX,840,0.0,0.0,1143,785.0
2015-01-01,DFW,FAR,1145,0.0,0.0,1423,968.0
2015-01-01,FWA,DFW,640,0.0,0.0,830,859.0
2015-01-01,DFW,MAF,700,0.0,0.0,808,309.0
2015-01-01,MAF,DFW,845,0.0,0.0,1005,309.0
2015-01-01,DFW,MOB,1620,0.0,0.0,1753,539.0
2015-01-01,BHM,DFW,1045,0.0,0.0,1255,597.0
2015-01-01,DFW,BHM,840,0.0,0.0,1018,597.0
2015-01-01,MHK,DFW,600,0.0,0.0,740,431.0
2015-01-01,DFW,LFT,1105,0.0,0.0,1218,351.0
2015-01-01,DFW,LAW,800,0.0,0.0,843,140.0
2015-01-01,LAW,DFW,910,0.0,0.0,1000,140.0
2015-01-01,ABI,DFW,815,0.0,0.0,915,158.0
2015-01-01,DFW,XNA,950,0.0,0.0,1053,280.0
2015-01-01,XNA,DFW,1120,0.0,0.0,1235,280.0
2015-01-01,CRP,DFW,1825,0.0,0.0,1945,354.0
2015-01-01,DFW,CRP,1635,0.0,0.0,1748,354.0
2015-01-01,ACT,DFW,605,0.0,0.0,650,89.0
2015-01-01,DFW,AMA,1125,0.0,0.0,1233,312.0
2015-01-01,LFT,DFW,650,0.0,0.0,815,351.0
2015-01-01,DFW,TXK,1005,0.0,0.0,1058,181.0
2015-01-01,TXK,DFW,1125,0.0,0.0,1225,181.0
2015-01-01,DFW,TYR,945,0.0,0.0,1028,102.0
2015-01-01,TYR,DFW,1055,0.0,0.0,1145,102.0
2015-01-01,SJT,DFW,605,0.0,0.0,705,229.0
2015-01-01,MOB,DFW,600,0.0,0.0,750,539.0
2015-01-01,DFW,CLL,1325,0.0,0.0,1413,164.0
2015-01-01,DFW,GCK,1845,0.0,0.0,2008,404.0
2015-01-01,XNA,DFW,800,0.0,0.0,925,280.0
2015-01-01,DFW,TYS,730,0.0,0.0,1023,772.0
2015-01-01,TLH,DFW,600,0.0,0.0,730,767.0
2015-01-01,SPI,DFW,635,0.0,0.0,850,630.0
2015-01-01,DFW,DRO,1050,0.0,0.0,1153,674.0
2015-01-01,DRO,DFW,1220,0.0,0.0,1510,674.0
2015-01-01,DFW,MAF,1300,0.0,0.0,1408,309.0
2015-01-01,MAF,DFW,1435,0.0,0.0,1545,309.0
2015-01-01,DFW,SJT,1410,0.0,0.0,1508,229.0
2015-01-01,SJT,DFW,1535,0.0,0.0,1640,229.0
2015-01-01,DFW,CAE,810,0.0,0.0,1123,922.0
2015-01-01,DFW,SPI,1340,0.0,0.0,1523,630.0
2015-01-01,CVG,DFW,820,0.0,0.0,1010,812.0
2015-01-01,COU,DFW,645,0.0,0.0,845,489.0
2015-01-01,DFW,JAN,830,0.0,0.0,948,408.0
2015-01-01,DFW,CVG,720,0.0,0.0,1028,812.0
2015-01-01,ABI,DFW,550,0.0,0.0,645,158.0
2015-01-01,DFW,MHK,940,0.0,0.0,1103,431.0
2015-01-01,DFW,TYR,1200,0.0,0.0,1243,102.0
2015-01-01,DFW,SGF,855,0.0,0.0,1008,364.0
2015-01-01,SGF,DFW,1035,0.0,0.0,1200,364.0
2015-01-01,CVG,DFW,600,0.0,0.0,745,812.0
2015-01-01,DFW,LAW,1215,0.0,0.0,1303,140.0
2015-01-01,LAW,DFW,1330,0.0,0.0,1420,140.0
2015-01-01,LEX,DFW,625,0.0,0.0,805,785.0
2015-01-01,CAE,DFW,600,0.0,0.0,805,922.0
2015-01-01,DFW,CLL,1005,0.0,0.0,1053,164.0
2015-01-01,MSN,DFW,615,0.0,0.0,855,821.0
2015-01-01,DFW,ROW,1700,0.0,0.0,1728,435.0
2015-01-01,ROW,DFW,1755,0.0,0.0,2025,435.0
2015-01-01,DFW,SJT,1655,0.0,0.0,1748,229.0
2015-01-01,SJT,DFW,1815,0.0,0.0,1915,229.0
2015-01-01,DFW,SPS,1240,0.0,0.0,1328,113.0
2015-01-01,SPS,DFW,1355,0.0,0.0,1440,113.0
2015-01-01,AMA,DFW,1000,0.0,0.0,1105,312.0
2015-01-01,DFW,AMA,825,0.0,0.0,933,312.0
2015-01-01,TXK,DFW,600,0.0,0.0,700,181.0
2015-01-01,DFW,CID,855,0.0,0.0,1048,685.0
