Date,Origin,Destination,Expected Departure Time,Actual Departure Time,Departure Delay,Expected Arrival Time,Distance
2017-01-01,BTM,SLC,1422,0.0,0.0,1545,358.0
2017-01-01,SLC,BTM,1227,0.0,0.0,1357,358.0
2017-01-01,SEA,SNA,940,0.0,0.0,1216,978.0
2017-01-01,SNA,SEA,1310,0.0,0.0,1559,978.0
2017-01-01,SEA,PSP,1220,0.0,0.0,1500,987.0
2017-01-01,PSP,SEA,1550,0.0,0.0,1838,987.0
2017-01-01,SEA,LAS,1005,0.0,0.0,1230,867.0
2017-01-01,LAS,SEA,1320,0.0,0.0,1555,867.0
2017-01-01,SEA,DEN,1015,0.0,0.0,1344,1024.0
2017-01-01,DEN,SEA,700,0.0,0.0,915,1024.0
2017-01-01,SEA,SLC,1435,0.0,0.0,1730,689.0
2017-01-01,SLC,SEA,730,0.0,0.0,840,689.0
2017-01-01,SEA,IAD,1000,0.0,0.0,1754,2306.0
2017-01-01,IAD,SEA,1900,0.0,0.0,2155,2306.0
2017-01-01,OMA,SEA,1710,0.0,0.0,1845,1368.0
2017-01-01,SEA,TPA,915,0.0,0.0,1735,2520.0
2017-01-01,TPA,SEA,1835,0.0,0.0,2150,2520.0
2017-01-01,SCC,BRW,1747,0.0,0.0,1837,204.0
2017-01-01,SCC,BRW,1022,0.0,0.0,1109,204.0
2017-01-01,BRW,FAI,1210,0.0,0.0,1330,503.0
2017-01-01,ANC,SEA,1905,0.0,0.0,2330,1448.0
2017-01-01,SEA,ANC,1100,0.0,0.0,1354,1448.0
2017-01-01,OTZ,ANC,845,0.0,0.0,1015,548.0
2017-01-01,ANC,OTZ,605,735.0,90.0,750,548.0
2017-01-01,JMS,DVL,2318,0.0,0.0,12,83.0
2017-01-02,IAH,GSP,1015,0.0,0.0,1326,837.0
2017-01-02,ORD,PWM,1910,0.0,0.0,2231,900.0
2017-01-02,IAH,MAF,845,0.0,0.0,1020,429.0
2017-01-02,IAH,CRW,1255,0.0,0.0,1621,975.0
2017-01-02,EVV,ORD,1535,0.0,0.0,1704,272.0
2017-01-02,FSD,ORD,1825,0.0,0.0,2010,462.0
2017-01-02,BTR,IAH,1035,0.0,0.0,1151,253.0
2017-01-02,PNS,IAH,1505,0.0,0.0,1700,489.0
2017-01-02,ORD,GRB,1550,0.0,0.0,1654,173.0
2017-01-02,LIT,IAH,1836,0.0,0.0,2007,374.0
2017-01-02,IAH,BTR,855,0.0,0.0,1003,253.0
2017-01-02,ATL,MYR,2130,0.0,0.0,2248,317.0
2017-01-02,ATL,BMI,2134,0.0,0.0,2227,533.0
2017-01-02,ATL,AVL,1559,0.0,0.0,1655,164.0
2017-01-02,AVL,ATL,1731,0.0,0.0,1845,164.0
2017-01-02,EVV,ATL,1750,0.0,0.0,2029,350.0
2017-01-02,ATL,TRI,2226,0.0,0.0,2333,227.0
2017-01-02,ATL,SGF,1624,0.0,0.0,1724,563.0
2017-01-02,SGF,ATL,1800,0.0,0.0,2049,563.0
2017-01-02,ATL,FSM,2120,2201.0,41.0,2225,579.0
2017-01-02,ATL,MGM,1300,0.0,0.0,1253,147.0
2017-01-02,MGM,ATL,1318,0.0,0.0,1519,147.0
2017-01-02,BHM,IAH,1110,0.0,0.0,1317,562.0
2017-01-02,MFE,IAH,1050,0.0,0.0,1206,316.0
2017-01-02,AEX,ATL,1739,0.0,0.0,2026,500.0
2017-01-02,ATL,AEX,1623,0.0,0.0,1713,500.0
2017-01-02,ATL,EWN,2125,0.0,0.0,2252,433.0
2017-01-02,SAT,MDW,2040,0.0,0.0,2310,1036.0
2017-01-02,SFO,MDW,1145,0.0,0.0,1750,1855.0
2017-01-02,SFO,MDW,1440,0.0,0.0,2050,1855.0
2017-01-02,SJC,MDW,1545,0.0,0.0,2150,1838.0
2017-01-02,SMF,MDW,1540,0.0,0.0,2135,1790.0
2017-01-02,STL,MDW,1915,0.0,0.0,2015,251.0
2017-01-02,STL,MDW,1715,0.0,0.0,1815,251.0
2017-01-02,TPA,MDW,2245,0.0,0.0,25,997.0
2017-01-02,TUS,MDW,1705,0.0,0.0,2120,1440.0
2017-01-02,IAH,LIT,1643,1638.0,-5.0,1806,374.0
2017-01-02,IAH,LIT,1910,0.0,0.0,2032,374.0
2017-01-02,IAH,MOB,1600,0.0,0.0,1725,427.0
2017-01-02,IAH,MFE,855,0.0,0.0,1016,316.0
2017-01-02,ORD,FSD,1600,0.0,0.0,1753,462.0
2017-01-02,IAH,HSV,1620,0.0,0.0,1805,595.0
2017-01-02,IAH,JAN,1250,0.0,0.0,1411,351.0
2017-01-02,MAF,IAH,1050,0.0,0.0,1218,429.0
2017-01-02,IAH,LRD,2120,0.0,0.0,2235,301.0
2017-01-02,GRB,ORD,1724,0.0,0.0,1829,173.0
2017-01-02,SBN,ORD,2000,0.0,0.0,1958,84.0
2017-01-02,JAN,IAH,1441,0.0,0.0,1608,351.0
2017-01-02,ORD,GRB,2100,0.0,0.0,2204,173.0
2017-01-02,MOB,IAH,1815,0.0,0.0,1957,427.0
2017-01-02,IAH,JAN,1650,0.0,0.0,1810,351.0
2017-01-02,CRW,IAH,1651,0.0,0.0,1855,975.0
2017-01-02,OAJ,ATL,1811,0.0,0.0,1954,399.0
