Date,Origin,Destination,Expected Departure Time,Actual Departure Time,Departure Delay,Expected Arrival Time,Distance
2013-01-01,BNA,ORD,910,0.0,0.0,1055,409.0
2013-01-01,ORD,BNA,715,0.0,0.0,840,409.0
2013-01-01,PDX,RDM,2150,2147.0,-3.0,2231,116.0
2013-01-01,SFO,RDM,2110,2106.0,-4.0,2242,462.0
2013-01-01,LAR,DEN,605,0.0,0.0,703,113.0
2013-01-01,SUN,SLC,650,0.0,0.0,754,222.0
2013-01-01,SUN,SLC,1315,0.0,0.0,1422,222.0
2013-01-02,JNU,SEA,2000,0.0,0.0,2320,909.0
2013-01-02,ANC,ADQ,1525,1527.0,2.0,1622,253.0
2013-01-02,ADQ,ANC,1714,0.0,0.0,1759,253.0
2013-01-02,SBP,PHX,605,0.0,0.0,854,509.0
2013-01-02,RDM,SFO,533,0.0,0.0,720,462.0
2013-01-02,RDM,PDX,620,0.0,0.0,712,116.0
2013-01-02,BJI,MSP,1245,0.0,0.0,1345,199.0
2013-01-03,LAX,OAK,1040,0.0,0.0,1155,337.0
2013-01-03,ELP,LAX,1725,0.0,0.0,1835,715.0
2013-01-03,LAX,ELP,1355,0.0,0.0,1650,715.0
2013-01-03,ART,ORD,1720,0.0,0.0,1840,618.0
2013-01-03,DEN,BIS,1433,0.0,0.0,1705,516.0
2013-01-03,ELP,IAH,1455,0.0,0.0,1747,667.0
2013-01-03,IAH,ELP,1326,1340.0,14.0,1430,667.0
2013-01-03,IAH,ELP,1430,0.0,0.0,1534,667.0
2013-01-03,BIS,DEN,1730,0.0,0.0,1809,516.0
2013-01-03,ELP,DEN,1559,0.0,0.0,1750,563.0
2013-01-03,RSW,PHL,815,0.0,0.0,1054,993.0
2013-01-03,RSW,CLT,630,0.0,0.0,821,600.0
2013-01-03,ELP,DFW,1405,0.0,0.0,1645,551.0
2013-01-03,DFW,ELP,2025,0.0,0.0,2110,551.0
2013-01-03,DFW,ELP,1040,0.0,0.0,1130,551.0
2013-01-03,DFW,ELP,2235,0.0,0.0,2320,551.0
2013-01-03,ELP,DFW,1210,0.0,0.0,1450,551.0
2013-01-03,DFW,ELP,1650,0.0,0.0,1735,551.0
2013-01-03,DFW,ELP,1445,0.0,0.0,1530,551.0
2013-01-03,ELP,DFW,1610,0.0,0.0,1855,551.0
2013-01-03,DFW,ELP,1235,0.0,0.0,1325,551.0
2013-01-03,ELP,DFW,1815,0.0,0.0,2055,551.0
2013-01-03,DFW,ELP,1835,0.0,0.0,1925,551.0
2013-01-03,ELP,DFW,1100,0.0,0.0,1340,551.0
2013-01-04,DAY,DFW,630,0.0,0.0,825,861.0
2013-01-04,ATL,DFW,605,0.0,0.0,735,731.0
2013-01-04,DFW,ATL,640,0.0,0.0,945,731.0
2013-01-04,DFW,IAH,700,0.0,0.0,820,224.0
2013-01-04,DFW,DTW,1110,0.0,0.0,1450,986.0
2013-01-04,COS,DFW,600,0.0,0.0,900,592.0
2013-01-04,DFW,COS,1155,0.0,0.0,1255,592.0
2013-01-04,DFW,LGA,745,0.0,0.0,1200,1389.0
