Date,Origin,Destination,Expected Departure Time,Actual Departure Time,Departure Delay,Expected Arrival Time,Distance
2011-01-01,LGA,ATL,945,0.0,0.0,1230,761.0
2011-01-01,ATL,LGA,1300,0.0,0.0,1505,761.0
2011-01-01,LGA,ATL,1215,0.0,0.0,1450,761.0
2011-01-01,ATL,LGA,1520,0.0,0.0,1735,761.0
2011-01-01,RAP,DEN,706,0.0,0.0,821,300.0
2011-01-01,FAR,DEN,619,0.0,0.0,729,627.0
2011-01-01,MMH,SFO,1736,0.0,0.0,1849,193.0
2011-01-01,SFO,MMH,1554,0.0,0.0,1700,193.0
2011-01-01,ORD,CMX,2120,0.0,0.0,2341,359.0
2011-01-01,GCC,RKS,612,0.0,0.0,737,261.0
2011-01-01,RKS,SLC,752,0.0,0.0,906,161.0
2011-01-01,ATL,BHM,1430,0.0,0.0,1421,134.0
2011-01-01,BHM,ATL,1500,0.0,0.0,1702,134.0
2011-01-01,ATL,MEM,1045,0.0,0.0,1114,332.0
2011-01-01,MEM,ATL,1154,0.0,0.0,1422,332.0
2011-01-01,ATL,CLE,1735,0.0,0.0,1930,554.0
2011-01-01,ATL,TUL,1330,0.0,0.0,1440,674.0
2011-01-01,TUL,ATL,1510,0.0,0.0,1804,674.0
2011-01-01,ATL,ORF,1510,0.0,0.0,1648,516.0
2011-01-01,ORF,ATL,1718,0.0,0.0,1917,516.0
2011-01-01,ATL,STL,1455,0.0,0.0,1543,483.0
2011-01-01,STL,ATL,1620,0.0,0.0,1855,483.0
2011-01-01,DFW,CSG,1840,0.0,0.0,2135,705.0
2011-01-01,ATL,ORD,1405,0.0,0.0,1510,606.0
2011-01-01,ORD,ATL,1035,0.0,0.0,1335,606.0
2011-01-01,BMI,ORD,630,0.0,0.0,720,116.0
2011-01-01,FAR,ORD,610,0.0,0.0,820,557.0
2011-01-01,IAH,PNS,1300,0.0,0.0,1423,489.0
2011-01-01,PNS,IAH,1500,0.0,0.0,1639,489.0
2011-01-01,IAH,MOB,1255,0.0,0.0,1406,427.0
2011-01-01,MOB,IAH,1438,0.0,0.0,1607,427.0
2011-01-01,FAR,ORD,553,0.0,0.0,745,557.0
