Date,Origin,Destination,Expected Departure Time,Actual Departure Time,Departure Delay,Expected Arrival Time,Distance
2010-01-01,STL,CVG,800,0.0,0.0,1021,307.0
2010-01-01,SUN,SLC,700,0.0,0.0,804,223.0
2010-01-01,SUN,SLC,918,0.0,0.0,1025,223.0
2010-01-01,SUN,SLC,1150,0.0,0.0,1257,223.0
2010-01-01,SUN,SLC,1315,0.0,0.0,1422,223.0
2010-01-01,SUN,SLC,1503,0.0,0.0,1610,223.0
2010-01-01,SUN,SLC,1800,0.0,0.0,1907,223.0
2010-01-01,SUN,SLC,1930,0.0,0.0,2037,223.0
2010-01-01,SUN,SLC,1415,0.0,0.0,1522,223.0
2010-01-01,LAX,BFL,2250,2327.0,37.0,2336,109.0
2010-01-01,PHX,BFL,2100,52.0,232.0,2131,425.0
2010-01-01,PHF,ATL,650,0.0,0.0,858,508.0
2010-01-01,CHO,ATL,700,0.0,0.0,854,457.0
2010-01-01,GSP,DFW,630,0.0,0.0,825,862.0
2010-01-01,TYS,DFW,720,0.0,0.0,900,772.0
2010-01-01,GSO,DFW,550,0.0,0.0,805,999.0
2010-01-01,CRP,DFW,600,0.0,0.0,720,354.0
2010-01-02,ERI,DTW,1530,0.0,0.0,1632,163.0
2010-01-02,ERI,DTW,1715,0.0,0.0,1820,163.0
2010-01-02,DTW,ERI,1540,0.0,0.0,1636,163.0
2010-01-02,DTW,ITH,2150,0.0,0.0,2314,353.0
2010-01-02,BTV,DTW,1610,0.0,0.0,1813,536.0
2010-01-02,ITH,DTW,600,1509.0,549.0,738,353.0
2010-01-02,DTW,ERI,2210,0.0,0.0,2308,163.0
2010-01-02,DTW,SCE,2150,2146.0,-4.0,2312,300.0
2010-01-02,RAP,MSP,1029,0.0,0.0,1305,490.0
2010-01-02,DTW,BTV,2210,0.0,0.0,2351,536.0
2010-01-02,DTW,ERI,1345,1342.0,-3.0,1446,163.0
2010-01-02,DTW,BTV,1350,0.0,0.0,1536,536.0
2010-01-02,DTW,BGR,1335,0.0,0.0,1541,750.0
2010-01-02,MSP,RAP,920,0.0,0.0,1002,490.0
2010-01-02,BGR,DTW,1620,0.0,0.0,1845,750.0
2010-01-02,BOS,BWI,1525,0.0,0.0,1658,370.0
2010-01-02,BOS,FLL,1648,0.0,0.0,2013,1237.0
2010-01-02,BOS,IAD,1400,0.0,0.0,1540,413.0
2010-01-02,BOS,PBI,1651,0.0,0.0,2010,1197.0
2010-01-02,BOS,PIT,1615,0.0,0.0,1805,496.0
2010-01-02,BOS,TPA,1415,0.0,0.0,1733,1185.0
2010-01-02,BWI,BOS,1740,0.0,0.0,1909,370.0
2010-01-02,FLL,BOS,1155,0.0,0.0,1505,1237.0
2010-01-02,IAD,BOS,1618,0.0,0.0,1753,413.0
2010-01-02,JFK,BTV,2240,0.0,0.0,2358,267.0
2010-01-02,JFK,PWM,1940,0.0,0.0,2108,274.0
2010-01-02,JFK,PWM,2229,0.0,0.0,2350,274.0
2010-01-02,PBI,BOS,1336,0.0,0.0,1639,1197.0
2010-01-02,PIT,BOS,1842,0.0,0.0,2018,496.0
2010-01-02,TPA,BOS,1818,0.0,0.0,2110,1185.0
2010-01-02,ATL,EYW,1000,0.0,0.0,1200,646.0
2010-01-02,EYW,ATL,1240,0.0,0.0,1445,646.0
2010-01-02,LAX,FAT,745,0.0,0.0,840,209.0
2010-01-02,FAT,LAX,915,0.0,0.0,1020,209.0
2010-01-02,DFW,AMA,630,0.0,0.0,735,313.0
