,Date,Airport,Latitude,Longitude,Max Temp,Precip,Precip Type,Wind Speed
72,2015-03-14,DFW,32.896,-97.037,63.0,0.0,NA,23.0
73,2015-03-15,DFW,32.896,-97.037,66.8,0.0,NA,16.1
74,2015-03-16,DFW,32.896,-97.037,76.9,0.0,NA,11.4
75,2015-03-17,DFW,32.896,-97.037,80.1,0.0,NA,14.9
76,2015-03-18,DFW,32.896,-97.037,65.9,0.03,"rain,",11.4
77,2015-03-19,DFW,32.896,-97.037,75.8,0.0,NA,12.7
78,2015-03-20,DFW,32.896,-97.037,60.2,0.4,"rain,",17.2
79,2015-03-21,DFW,32.896,-97.037,62.1,0.01,"rain,",11.4
80,2015-03-22,DFW,32.896,-97.037,67.9,0.11,"rain,",9.2
81,2015-03-23,DFW,32.896,-97.037,74.9,0.0,NA,13.9
82,2015-03-24,DFW,32.896,-97.037,82.1,0.0,NA,21.9
83,2015-03-25,DFW,32.896,-97.037,81.0,0.0,NA,23.0
84,2015-03-26,DFW,32.896,-97.037,72.0,0.0,NA,31.0
85,2015-03-27,DFW,32.896,-97.037,69.2,0.0,NA,17.2
86,2015-03-28,DFW,32.896,-97.037,80.1,0.0,NA,15.0
87,2015-03-29,DFW,32.896,-97.037,82.1,0.0,NA,24.1
88,2015-03-30,DFW,32.896,-97.037,74.9,0.0,NA,11.4
89,2015-03-31,DFW,32.896,-97.037,82.1,0.0,NA,19.7
90,2015-04-01,DFW,32.896,-97.037,78.2,0.1,"rain,",19.7
91,2015-04-02,DFW,32.896,-97.037,83.0,0.0,NA,25.2
92,2015-04-03,DFW,32.896,-97.037,74.0,0.0,NA,26.3
93,2015-04-04,DFW,32.896,-97.037,67.9,0.0,NA,15.0
94,2015-04-05,DFW,32.896,-97.037,61.1,0.75,"rain,",16.1
95,2015-04-06,DFW,32.896,-97.037,81.0,0.0,NA,21.9
96,2015-04-07,DFW,32.896,-97.037,80.1,0.0,NA,23.0
97,2015-04-08,DFW,32.896,-97.037,74.9,0.0,NA,25.2
98,2015-04-09,DFW,32.896,-97.037,82.1,0.09,"rain,",18.3
99,2015-04-10,DFW,32.896,-97.037,70.1,0.0,NA,20.8
100,2015-04-11,DFW,32.896,-97.037,73.1,0.0,NA,11.4
101,2015-04-12,DFW,32.896,-97.037,76.9,0.0,NA,13.9
102,2015-04-13,DFW,32.896,-97.037,71.1,1.07,"rain,",21.9
103,2015-04-14,DFW,32.896,-97.037,60.2,0.05,"rain,",19.7
104,2015-04-15,DFW,32.896,-97.037,74.0,0.0,NA,12.7
105,2015-04-16,DFW,32.896,-97.037,76.9,0.0,NA,15.0
106,2015-04-17,DFW,32.896,-97.037,72.0,0.53,"rain,",19.6
107,2015-04-18,DFW,32.896,-97.037,80.1,0.48,"rain,",17.2
108,2015-04-19,DFW,32.896,-97.037,75.8,0.0,NA,26.3
109,2015-04-20,DFW,32.896,-97.037,68.0,0.0,NA,24.1
110,2015-04-21,DFW,32.896,-97.037,73.1,0.05,"rain,",17.2
111,2015-04-22,DFW,32.896,-97.037,75.8,0.0,NA,15.0
112,2015-04-23,DFW,32.896,-97.037,74.0,0.5,"rain,",16.1
113,2015-04-24,DFW,32.896,-97.037,69.2,1.01,"rain,",16.1
114,2015-04-25,DFW,32.896,-97.037,87.2,0.02,"rain,",18.3
115,2015-04-26,DFW,32.896,-97.037,83.0,0.0,NA,19.7
116,2015-04-27,DFW,32.896,-97.037,73.1,0.85,"rain,",26.4
117,2015-04-28,DFW,32.896,-97.037,56.9,0.05,"rain,",19.6
118,2015-04-29,DFW,32.896,-97.037,74.0,0.0,NA,13.8
119,2015-04-30,DFW,32.896,-97.037,78.2,0.0,NA,8.0
120,2015-05-01,DFW,32.896,-97.037,79.1,0.0,NA,10.2
121,2015-05-02,DFW,32.896,-97.037,80.1,0.0,NA,12.7
122,2015-05-03,DFW,32.896,-97.037,79.1,0.0,NA,16.1
123,2015-05-04,DFW,32.896,-97.037,80.1,0.0,NA,18.3
124,2015-05-05,DFW,32.896,-97.037,78.2,0.14,"rain,",23.0
125,2015-05-06,DFW,32.896,-97.037,81.0,0.43,"rain,",20.8
126,2015-05-07,DFW,32.896,-97.037,80.1,1.31,"rain,",18.3
127,2015-05-08,DFW,32.896,-97.037,82.1,0.06,"rain,",21.9
128,2015-05-09,DFW,32.896,-97.037,82.1,0.04,"rain,",24.1
129,2015-05-10,DFW,32.896,-97.037,78.2,1.49,"rain,",20.8
130,2015-05-11,DFW,32.896,-97.037,72.0,0.0,NA,17.2
131,2015-05-12,DFW,32.896,-97.037,72.0,0.06,"rain,",12.7
132,2015-05-13,DFW,32.896,-97.037,69.2,1.11,"rain,",16.1
133,2015-05-14,DFW,32.896,-97.037,81.0,0.0,NA,18.3
134,2015-05-15,DFW,32.896,-97.037,76.9,0.01,"rain,",17.2
135,2015-05-16,DFW,32.896,-97.037,83.0,0.0,NA,23.0
136,2015-05-17,DFW,32.896,-97.037,78.2,1.68,"rain,",21.9
137,2015-05-18,DFW,32.896,-97.037,88.1,0.0,NA,15.0
138,2015-05-19,DFW,32.896,-97.037,78.2,0.0,NA,20.8
139,2015-05-20,DFW,32.896,-97.037,84.8,0.0,NA,19.7
140,2015-05-21,DFW,32.896,-97.037,65.0,0.58,"rain,",17.2
141,2015-05-22,DFW,32.896,-97.037,66.9,0.54,"rain,",13.9
142,2015-05-23,DFW,32.896,-97.037,80.1,0.58,"rain,",25.2
143,2015-05-24,DFW,32.896,-97.037,75.8,3.34,"rain,",19.7
144,2015-05-25,DFW,32.896,-97.037,74.9,0.45,"rain,",32.1
145,2015-05-26,DFW,32.896,-97.037,80.1,0.43,"rain,",20.8
146,2015-05-27,DFW,32.896,-97.037,84.8,0.0,NA,27.7
147,2015-05-28,DFW,32.896,-97.037,86.0,0.17,"rain,",17.2
148,2015-05-29,DFW,32.896,-97.037,77.0,3.71,"rain,",16.1
149,2015-05-30,DFW,32.896,-97.037,74.9,0.88,"rain,",25.2
150,2015-05-31,DFW,32.896,-97.037,78.2,0.0,NA,16.1
151,2015-06-01,DFW,32.896,-97.037,83.9,0.0,NA,8.0
152,2015-06-02,DFW,32.896,-97.037,87.2,0.0,NA,15.0
153,2015-06-03,DFW,32.896,-97.037,89.1,0.0,NA,13.9
154,2015-06-04,DFW,32.896,-97.037,90.0,0.0,NA,12.7
155,2015-06-05,DFW,32.896,-97.037,90.0,0.0,NA,9.2
156,2015-06-06,DFW,32.896,-97.037,91.1,0.0,NA,11.4
157,2015-06-07,DFW,32.896,-97.037,92.0,0.0,NA,15.0
158,2015-06-08,DFW,32.896,-97.037,93.8,0.0,NA,13.8
159,2015-06-09,DFW,32.896,-97.037,92.9,0.0,NA,11.4
160,2015-06-10,DFW,32.896,-97.037,96.2,0.0,NA,13.9
