,Date,Latitude,Longitude,Max Temp,Precip,Wind Speed,Airport
0,2015-01-31,32.89599999999999,-97.03699999999995,53.94193548387097,0.11612903225806452,16.906451612903226,DFW
1,2015-02-28,32.89599999999999,-97.03699999999996,55.82857142857144,0.10714285714285714,19.442857142857147,DFW
2,2015-03-31,32.89599999999999,-97.03699999999995,64.62903225806451,0.082258064516129,15.983870967741932,DFW
3,2015-04-30,32.89599999999999,-97.03699999999996,74.16666666666666,0.18499999999999997,18.78333333333334,DFW
4,2015-05-31,32.89599999999999,-97.03699999999995,78.2967741935484,0.5487096774193547,19.332258064516132,DFW
5,2015-06-30,32.89599999999999,-97.03699999999996,90.77333333333334,0.13933333333333334,16.119999999999997,DFW
6,2015-07-31,32.89599999999999,-97.03699999999995,95.80967741935481,0.03161290322580645,17.73225806451613,DFW
7,2015-08-31,32.89599999999999,-97.03699999999995,96.83548387096775,0.014838709677419355,15.041935483870967,DFW
8,2015-09-30,32.89599999999999,-97.03699999999996,92.24333333333333,0.07133333333333333,14.230000000000002,DFW
9,2015-10-31,32.89599999999999,-97.03699999999995,81.6225806451613,0.31870967741935485,15.738709677419358,DFW
10,2015-11-30,32.89599999999999,-97.03699999999996,67.29333333333332,0.3283333333333333,17.266666666666666,DFW
11,2015-12-31,32.89599999999999,-97.03699999999995,64.4483870967742,0.12290322580645162,17.370967741935484,DFW
12,2016-01-31,32.89599999999999,-97.03699999999995,56.88387096774195,0.03387096774193549,18.45483870967742,DFW
13,2016-02-29,32.89599999999999,-97.03699999999996,66.28275862068966,0.07586206896551725,19.7448275862069,DFW
14,2016-03-31,32.89599999999999,-97.03699999999995,70.9935483870968,0.08548387096774193,21.158064516129034,DFW
15,2016-04-30,32.89599999999999,-97.03699999999996,77.40000000000002,0.1536666666666667,18.10666666666667,DFW
16,2016-05-31,32.89599999999999,-97.03699999999995,80.91612903225806,0.20096774193548386,19.177419354838708,DFW
17,2016-06-30,32.89599999999999,-97.03699999999996,92.57,0.11966666666666669,15.409999999999998,DFW
18,2016-07-31,32.89599999999999,-97.03699999999995,96.25806451612904,0.10548387096774192,18.66774193548387,DFW
19,2016-08-31,32.89599999999999,-97.03699999999995,94.20645161290322,0.1435483870967742,15.096774193548388,DFW
20,2016-09-30,32.89599999999999,-97.03699999999996,90.1733333333333,0.032,14.626666666666669,DFW
21,2016-10-31,32.89599999999999,-97.03699999999995,84.29354838709678,0.0667741935483871,16.474193548387095,DFW
22,2016-11-30,32.89599999999999,-97.03699999999996,72.40666666666667,0.10733333333333332,17.223333333333333,DFW
23,2016-12-31,32.89599999999999,-97.03699999999995,58.5032258064516,0.019032258064516132,18.92903225806451,DFW
24,2017-01-31,32.89599999999999,-97.03699999999995,61.49677419354838,0.14129032258064517,19.129032258064516,DFW
25,2017-02-28,32.89599999999999,-97.03699999999996,70.8392857142857,0.08321428571428571,20.896428571428572,DFW
26,2017-03-31,32.89599999999999,-97.03699999999995,75.86451612903227,0.034193548387096775,21.593548387096774,DFW
27,2017-04-30,32.89599999999999,-97.03699999999996,79.01333333333332,0.112,20.973333333333336,DFW
28,2017-05-31,32.89599999999999,-97.03699999999995,85.46129032258065,0.022580645161290325,19.932258064516127,DFW
29,2017-06-30,32.89599999999999,-97.03699999999996,90.31666666666666,0.287,17.243333333333332,DFW
30,2017-07-31,32.89599999999999,-97.03699999999995,95.5032258064516,0.1329032258064516,15.83548387096774,DFW
31,2017-08-31,32.89599999999999,-97.03699999999995,92.17741935483869,0.1364516129032258,15.764516129032256,DFW
32,2017-09-30,32.89599999999999,-97.03699999999996,90.31333333333332,0.01566666666666667,14.916666666666664,DFW
33,2017-10-31,32.89599999999999,-97.03699999999995,82.24516129032256,0.06870967741935484,17.954838709677425,DFW
34,2017-11-30,32.89599999999999,-97.03699999999996,72.43333333333335,0.027000000000000003,17.506666666666668,DFW
35,2017-12-31,32.89599999999999,-97.03699999999995,59.112903225806434,0.147741935483871,16.58709677419355,DFW
36,2018-01-31,32.89599999999999,-97.03699999999995,56.90322580645161,0.013870967741935483,18.91612903225806,DFW
37,2018-02-28,32.89599999999999,-97.03699999999996,60.642857142857146,0.35642857142857143,19.83928571428571,DFW
38,2018-03-31,32.89599999999999,-97.03699999999995,73.94193548387096,0.14064516129032256,19.98709677419355,DFW
39,2018-04-30,32.89599999999999,-97.03699999999996,73.92000000000002,0.026333333333333334,20.853333333333335,DFW
40,2018-05-31,32.89599999999999,-97.03699999999995,88.66129032258064,0.060322580645161286,17.819354838709675,DFW
41,2018-06-30,32.89599999999999,-97.03699999999996,94.77999999999999,0.042333333333333334,20.249999999999996,DFW
42,2018-07-31,32.89599999999999,-97.03699999999995,98.9290322580645,0.008064516129032258,17.335483870967746,DFW
43,2018-08-31,32.89599999999999,-97.03699999999995,94.22258064516126,0.0964516129032258,16.25483870967742,DFW
44,2018-09-30,32.89599999999999,-97.03699999999996,84.54666666666665,0.4156666666666667,13.589999999999998,DFW
45,2018-10-31,32.89599999999999,-97.03699999999995,73.59032258064514,0.504516129032258,15.183870967741933,DFW
46,2018-11-30,32.89599999999999,-97.03699999999996,63.18333333333333,0.02866666666666667,18.04,DFW
47,2018-12-31,32.89599999999999,-97.03699999999995,56.0774193548387,0.1470967741935484,17.290322580645164,DFW
0,2015-01-31,33.63999999999999,-84.427,51.66774193548387,0.13967741935483868,15.980645161290317,ATL
1,2015-02-28,33.63999999999999,-84.42699999999999,49.457142857142856,0.14964285714285713,16.732142857142858,ATL
